Case #1: 111
33 11 183376
33 17 20820
33 20 142117
33 22 208378
33 25 294547
33 28 215548
33 32 166231
33 38 158699
33 40 178909
34 3 115381
34 6 183372
34 12 117366
34 14 114615
34 16 49861
34 18 164403
34 20 110211
34 22 155860
34 27 62095
34 29 117519
34 35 87051
34 37 13732
34 39 58996
35 1 5592
35 34 87051
35 4 17560
35 39 46325
35 40 102702
35 42 79815
35 12 30315
35 15 54118
35 17 151421
35 23 53034
35 26 95986
35 29 30468
36 1 96597
36 3 119335
36 6 109028
36 9 152739
36 11 123449
36 13 92260
36 16 53815
36 20 110096
36 22 137977
36 24 113781
36 33 230729
36 37 89944
36 41 88383
37 34 13732
37 36 89944
37 6 169640
37 40 101641
37 41 95165
37 42 153134
37 14 100883
37 16 36129
37 19 114743
37 26 83472
37 29 103787
37 31 167797
38 1 14348
38 2 70310
38 3 113976
38 5 104313
38 40 113968
38 42 91081
38 15 42852
38 18 87744
38 21 53713
38 25 165552
38 27 60690
38 31 162744
39 2 103858
39 5 46722
39 9 108059
39 12 76640
39 14 94054
39 16 9135
39 19 87749
39 22 99495
39 29 69452
39 32 37761
39 34 58996
39 36 44680
39 40 74647
40 2 122603
40 5 121369
40 7 178333
40 9 141352
40 11 159614
40 14 159372
40 18 74456
40 20 79909
40 22 174142
40 25 219991
40 31 131004
40 33 178909
40 35 102702
40 38 113968
41 2 59921
41 4 81569
41 5 73849
41 38 75275
41 8 76613
41 10 64203
41 11 35066
41 16 59036
41 20 61187
41 24 31362
41 27 46802
41 30 141305
42 32 145631
42 35 79815
42 37 153134
42 38 91081
42 39 126140
42 11 192430
42 13 81070
42 15 108507
42 20 115563
42 23 132849
42 27 129239
42 29 84857
Case #66: 9
1 3 150323
2 3 83618
2 6 281648
3 2 83618
4 2 419760
4 6 701408
5 6 294964
6 2 281648
6 4 701408
Case #67: 42
1 21 465180
2 21 285343
3 20 440219
4 16 669091
4 6 819517
5 9 487298
5 15 536394
6 4 819517
6 23 514962
8 25 454903
9 21 487568
9 14 799751
10 22 496591
10 13 679539
11 16 596535
11 10 927459
12 1 157109
12 18 782944
12 22 483754
13 2 279531
13 25 790078
13 12 517904
14 5 943041
14 25 349593
14 11 468790
15 16 906854
15 10 721070
16 6 366255
16 11 596535
17 21 778153
18 22 495318
20 3 440219
20 21 306045
21 1 465180
21 2 285343
21 9 487568
22 18 495318
22 9 463321
22 12 483754
24 13 352722
25 8 454903
25 14 349593
Case #68: 16
1 2 94968
1 5 306707
1 7 360888
2 4 196714
2 7 265920
3 4 199320
3 7 253593
4 3 199320
4 7 452907
5 3 224066
5 7 477659
6 2 186820
6 5 398559
7 1 360888
7 3 253593
7 5 477659
Case #69: 71
1 2 471097
1 4 76870
1 6 161558
1 8 290425
1 10 198683
1 13 160934
2 5 398364
2 7 500263
2 10 505515
2 13 481815
3 1 172316
3 6 44326
3 11 222310
3 13 228720
4 1 76870
4 9 164606
4 11 253620
4 13 84064
5 1 72733
5 3 114481
5 7 221113
5 9 314209
5 11 227043
5 13 233667
6 1 161558
6 3 44326
6 5 158807
6 8 296674
6 10 204932
7 1 184417
7 5 221113
7 8 152974
7 10 61232
7 12 235031
7 14 161506
8 5 240487
8 7 152974
8 11 387055
9 1 241476
9 4 164606
9 6 229955
9 10 118291
9 13 80542
10 1 198683
10 3 249258
10 5 271416
10 7 61232
10 9 118291
10 12 285334
10 14 222738
11 3 222310
11 5 227043
11 8 387055
11 10 295313
11 13 333062
12 2 412282
12 4 163521
12 6 172725
12 8 226569
12 11 227470
12 14 73525
13 2 481815
13 4 84064
13 7 23483
13 10 37749
13 12 247585
14 2 338757
14 4 200711
14 7 161506
14 10 222738
14 12 73525
Case #70: 96
1 17 275404
1 4 231076
1 6 182834
1 8 313857
1 10 233665
1 13 150348
2 1 201019
2 4 257166
2 7 142270
2 9 219962
2 12 292240
2 14 197340
3 16 343699
3 2 71859
3 6 68434
3 10 47369
3 13 35948
4 16 395837
4 2 257166
4 8 476330
4 11 553071
4 13 277559
4 15 288169
5 1 19093
5 2 181926
5 6 163741
5 10 214572
5 12 311254
5 14 15414
6 1 182834
6 4 310045
6 7 124085
6 13 32486
7 2 142270
7 6 124085
7 9 215696
7 12 347928
7 14 55070
7 16 216152
8 16 471260
8 2 306578
8 5 325592
8 7 362266
8 10 282088
8 12 14338
9 1 164305
9 2 219962
9 7 215696
9 10 282886
9 14 160626
10 1 233665
10 3 47369
10 7 174916
10 9 282886
10 13 83317
10 15 202399
11 4 553071
11 8 381211
11 10 468216
11 13 431474
11 15 312392
12 1 299519
12 3 220381
12 5 311254
12 8 14338
12 13 256329
12 15 349254
13 2 107807
13 4 277559
13 6 32486
13 10 83317
13 12 256329
13 15 119082
13 17 285273
14 2 197340
14 4 234755
14 7 55070
14 10 229986
14 12 295840
14 15 53414
14 17 271725
15 2 226889
15 7 108484
15 10 202399
15 12 349254
15 14 53414
16 3 343699
16 5 176496
16 7 216152
16 10 391068
16 14 161082
17 16 432807
17 3 316284
17 7 216655
17 11 558141
17 13 285273
Case #71: 7
1 2 797240
2 1 797240
3 14 13950
4 3 677921
8 7 587043
13 1 933630
14 3 13950
Case #72: 25
1 6 365655
2 6 205912
2 9 516044
3 11 451590
4 8 484859
5 4 621014
5 10 21671
5 12 464551
6 1 365655
6 5 183316
6 8 382598
7 6 619161
8 2 575642
8 6 382598
9 10 194389
10 5 21671
10 9 194389
11 1 586567
11 5 257666
11 15 400107
12 6 281235
12 15 529331
13 14 218429
14 13 218429
15 11 400107
Case #73: Impossible
Case #74: 253
1 2 36521
1 4 249638
1 7 331686
1 10 107215
1 12 161972
1 15 122603
1 17 285189
1 19 154715
1 22 194683
1 24 250214
2 1 36521
2 5 172179
2 7 295165
2 9 259754
2 12 198493
2 14 133307
2 16 219215
2 18 174209
2 20 256562
2 22 205314
2 24 213693
3 1 118578
3 4 249381
3 6 334348
3 8 307605
3 10 112674
3 13 249303
3 16 261195
3 18 245893
3 21 204046
3 23 272258
3 25 181134
4 3 249381
4 7 148547
4 9 37863
4 11 84479
4 14 252165
4 16 154175
4 20 244886
4 23 237409
4 25 171221
5 3 247923
5 8 173231
5 11 233009
5 14 232444
5 16 75135
5 21 247511
5 24 141328
6 1 282146
6 3 334348
6 5 146488
6 9 205946
6 11 187656
6 14 339608
6 16 180094
6 18 144458
6 20 134284
6 23 69326
6 25 209217
7 2 295165
7 4 148547
7 8 152362
7 10 224471
7 13 94060
7 15 209083
7 17 212309
7 19 203743
7 23 231973
7 25 156011
8 2 265625
8 4 194826
8 7 152362
8 10 194931
8 12 146917
8 15 210319
8 18 171201
8 20 107541
8 22 228196
8 24 233834
9 2 259754
9 4 37863
9 6 205946
9 8 232689
9 12 251958
9 14 290028
9 16 192038
9 18 265143
9 21 137765
9 24 134545
10 1 107215
10 4 239681
10 7 224471
10 9 208372
10 12 157503
10 14 204001
10 17 228984
10 19 116192
10 21 192683
10 23 191122
11 1 233197
11 4 84479
11 6 187656
11 10 161756
11 14 287037
11 16 157874
11 18 230979
11 20 228402
11 22 287974
11 24 181161
12 1 161972
12 3 270177
12 7 245054
12 9 251958
12 13 205219
12 17 150333
12 19 41311
12 21 232296
12 23 189500
13 2 207323
13 4 242607
13 7 94060
13 10 136629
13 12 205219
13 15 152017
13 17 247553
13 21 88014
13 23 154371
13 25 205089
14 2 133307
14 5 232444
14 7 348623
14 9 290028
14 11 287037
14 15 219389
14 17 188403
14 19 251501
14 21 255296
14 23 395123
14 25 272461
15 2 86082
15 4 224293
15 6 237062
15 8 210319
15 10 15388
15 13 152017
15 16 163909
15 18 117831
15 20 201256
15 22 150008
15 25 53072
16 2 219215
16 4 154175
16 6 180094
16 9 192038
16 12 59920
16 14 278816
16 17 90413
16 19 90132
16 21 172376
16 23 249420
16 25 137864
17 2 299678
17 5 165548
17 7 212309
17 9 101625
17 11 98634
17 13 247553
17 15 244372
17 18 163518
17 20 296792
17 22 220513
17 25 228277
18 2 174209
18 6 144458
18 8 171201
18 10 133219
18 12 24284
18 15 117831
18 17 163518
18 20 151361
18 23 213784
18 25 64759
19 2 186886
19 6 161485
19 8 188228
19 11 247172
19 14 251501
19 16 90132
19 18 17027
19 22 49564
19 24 122271
20 2 256562
20 4 244886
20 7 115236
20 9 225920
20 11 228402
20 13 49239
20 15 201256
20 17 296792
20 21 137253
20 23 203610
21 1 158510
21 3 204046
21 5 247511
21 8 146316
21 10 192683
21 12 232296
21 14 255296
21 16 172376
21 19 233602
21 22 251319
21 25 185870
22 2 205314
22 8 228196
22 10 134620
22 12 81279
22 14 271466
22 16 130100
22 18 56995
22 20 208356
22 23 270779
22 25 97296
23 2 261816
23 4 237409
23 6 69326
23 8 96069
23 11 223514
23 13 154371
23 15 206510
23 18 213784
23 20 203610
23 22 270779
24 1 250214
24 3 255673
24 5 141328
24 7 81472
24 9 134545
24 13 175532
24 16 212403
24 18 139298
24 20 196708
24 23 236589
25 1 175675
25 3 181134
25 5 66789
25 7 156011
25 9 209084
25 11 199440
25 13 205089
25 15 53072
25 17 228277
25 19 47732
25 22 97296
Case #75: 25
1 19 440126
3 6 826075
4 5 814683
5 9 645793
6 19 453588
6 13 470672
8 13 643945
9 5 645793
10 15 608818
13 17 567314
13 21 262398
13 8 643945
14 17 67846
15 16 668904
15 8 834527
16 20 495391
16 15 668904
17 14 67846
19 1 440126
19 13 607734
20 21 711315
21 8 381547
22 16 804052
23 22 655311
24 23 982213
Case #76: 548
1 2 174722
1 6 63359
1 9 278668
1 11 179345
1 14 53503
1 17 263626
1 19 218808
1 21 162156
1 24 154488
1 26 160732
1 28 159670
1 31 202194
1 33 95996
1 35 147328
1 37 155195
2 3 114834
2 5 105803
2 7 115324
2 10 128773
2 13 160029
2 15 30460
2 18 149147
2 21 36954
2 23 58462
2 25 72668
2 27 24760
2 30 62099
2 32 121528
2 35 169487
3 1 67819
3 4 40195
3 6 75930
3 8 103269
3 10 115243
3 12 139819
3 15 85464
3 18 170740
3 20 107990
3 22 152929
3 24 116713
3 26 92913
3 29 181523
3 32 31550
3 35 79509
3 37 111869
4 3 40195
4 7 40685
4 10 154263
4 16 116932
4 18 210935
4 21 134532
4 25 111863
4 27 122338
4 29 221718
4 31 224576
4 34 52623
4 37 127571
5 2 105803
5 4 144998
5 9 209890
5 11 153757
5 13 174854
5 15 75343
5 17 243519
5 19 149889
5 23 47341
5 25 33135
5 28 81730
5 31 182087
5 33 87072
5 36 136265
5 38 192373
6 2 116348
6 7 76420
6 10 189998
6 12 215749
6 15 146808
6 18 246670
6 22 148469
6 24 188528
6 26 168843
6 28 167781
6 30 120734
6 34 88358
6 36 103420
6 38 275939
7 3 490
7 6 76420
7 9 218016
7 13 70541
7 16 77227
7 19 159410
7 21 102758
7 23 57952
7 25 72158
7 29 182013
7 31 203983
7 33 52292
7 35 79999
7 37 112359
8 3 103269
8 7 103759
8 10 107078
8 13 148464
8 16 99432
8 20 172797
8 23 80157
8 26 115608
8 29 187605
8 31 110354
8 33 156051
8 35 157922
8 38 185022
9 2 180844
9 4 251044
9 6 286779
9 8 202539
9 12 276107
9 14 268378
9 17 317844
9 19 224930
9 23 162549
9 25 176755
9 27 205604
9 29 286610
9 31 269503
9 33 270308
9 35 251751
9 37 199282
10 1 155958
10 3 115243
10 5 101477
10 8 107078
10 13 143942
10 15 120688
10 18 132750
10 20 176872
10 23 92686
10 25 78480
10 28 127075
10 30 69264
10 32 121937
10 35 148706
10 37 185760
11 3 163878
11 5 153757
11 7 164368
11 9 268965
11 12 259073
11 14 232848
11 16 125691
11 19 152661
11 24 197632
11 27 117453
11 29 230477
11 31 108088
11 33 216660
11 36 118811
12 2 133820
12 5 170369
12 9 276107
12 13 185014
12 16 142303
12 21 170774
12 23 161578
12 25 147372
12 27 158580
12 30 138156
12 32 146513
12 35 194472
12 37 226832
13 1 113377
13 3 70051
13 6 121488
13 8 148464
13 10 143942
13 12 185014
13 17 160380
13 19 183396
13 21 147463
13 25 141719
13 27 135269
13 29 224469
13 31 138823
13 35 86460
13 37 41818
14 1 53503
14 5 129565
14 9 268378
14 11 232848
14 15 180739
14 18 232265
14 21 197543
14 25 162700
14 28 187126
14 30 148010
14 32 126825
14 35 174784
14 37 207144
15 1 153283
15 3 85464
15 6 146808
15 9 150384
15 11 134418
15 14 180739
15 18 179607
15 20 120642
15 22 133686
15 26 63453
15 28 62391
15 30 92559
15 34 97892
15 37 197333
16 2 77737
16 4 116932
16 7 77227
16 10 73411
16 12 142303
16 17 215453
16 21 114691
16 23 19275
16 26 16176
16 29 104786
16 31 154021
16 33 115138
16 35 140396
16 38 164307
17 4 246133
17 6 242664
17 8 148011
17 11 169520
17 15 180551
17 18 121920
17 20 108743
17 23 201383
17 25 210384
17 27 134816
17 30 172155
17 36 156778
17 38 313418
18 2 149147
18 4 210935
18 6 246670
18 10 132750
18 14 232265
18 17 121920
18 20 230663
18 22 207563
18 24 131280
18 27 173907
18 29 116306
18 33 223522
18 35 250249
19 3 158920
19 7 159410
19 10 172859
19 13 183396
19 15 74546
19 17 106005
19 20 195188
19 22 147312
19 24 173979
19 26 137999
19 28 136937
19 30 106185
19 32 165614
19 34 146492
19 36 74548
20 1 175809
20 3 107990
20 7 108480
20 10 176872
20 13 114941
20 17 108743
20 19 195188
20 23 92640
20 26 128091
20 29 216701
20 31 170175
20 33 160772
20 37 156759
21 2 36954
21 4 134532
21 6 120042
21 8 25389
21 12 170774
21 14 197543
21 16 114691
21 19 81040
21 22 66272
21 24 117327
21 26 130867
21 28 129805
21 30 49533
21 33 155050
21 35 156921
21 37 189281
22 2 103226
22 4 112734
22 7 153419
22 11 38987
22 15 133686
22 17 208507
22 19 147312
22 23 145403
22 25 159609
22 27 78466
22 31 147075
22 34 156112
22 36 100428
22 38 266553
23 3 57462
23 6 133392
23 8 80157
23 10 92686
23 13 127513
23 16 19275
23 18 207609
23 20 92640
23 22 145403
23 26 35451
23 28 34389
23 31 147121
23 33 110244
23 36 88924
23 38 145032
24 2 129893
24 5 100007
24 7 117203
24 10 1470
24 12 70362
24 17 239949
24 19 173979
24 22 183599
24 25 77010
24 27 105133
24 29 81997
24 31 191768
24 33 143478
24 35 150176
24 37 187230
25 1 139487
25 3 71668
25 5 33135
25 7 72158
25 9 176755
25 12 147372
25 14 162700
25 17 210384
25 19 116754
25 21 109622
25 24 77010
25 29 109855
25 31 148952
25 33 120207
25 35 135327
25 37 183537
26 1 160732
26 3 92913
26 5 11890
26 8 115608
26 10 89587
26 12 158479
26 15 63453
26 17 231629
26 20 128091
26 22 180854
26 24 88117
26 28 69840
26 31 170197
26 34 105341
26 37 204782
27 2 24760
27 6 107848
27 11 117453
27 13 135269
27 15 55220
27 18 173907
27 20 173208
27 22 78466
27 24 105133
27 26 118673
27 29 187130
27 31 113419
27 34 77646
27 37 177087
28 1 159670
28 3 91851
28 5 81730
28 7 92341
28 9 196938
28 11 140805
28 13 161902
28 15 62391
28 17 235772
28 19 136937
28 23 34389
28 26 69840
28 29 158450
28 31 181510
28 33 144633
28 35 155510
28 37 203720
29 1 236485
29 4 221718
29 7 182013
29 9 286610
29 11 230477
29 14 182982
29 16 104786
29 19 181427
29 21 199324
29 23 124061
29 25 109855
29 27 187130
29 30 149791
29 33 163792
29 37 266287
30 2 62099
30 5 157538
30 7 53225
30 9 242943
30 11 154792
30 13 97930
30 15 92559
30 17 172155
30 19 106185
30 21 49533
30 25 124403
30 28 144586
30 33 105517
30 35 107388
30 37 139748
31 1 202194
31 3 203493
31 5 182087
31 7 203983
31 9 269503
31 11 108088
31 13 138823
31 15 119119
31 19 44573
31 22 147075
31 24 191768
31 26 170197
31 28 181510
31 32 177324
31 34 191065
31 36 119121
32 1 99369
32 3 31550
32 7 32040
32 9 203792
32 11 195428
32 14 126825
32 19 165614
32 21 108962
32 23 89012
32 25 103218
32 28 123401
32 33 84332
32 36 118730
32 38 221309
33 2 137035
33 5 87072
33 8 156051
33 11 216660
33 17 269515
33 19 181121
33 21 155050
33 24 143478
33 27 142856
33 29 163792
33 31 225694
33 35 132291
33 37 164651
34 3 12428
34 6 88358
34 8 90841
34 10 102815
34 12 127391
34 14 107703
34 16 89165
34 19 146492
34 22 156112
34 25 84096
34 27 77646
34 29 183342
34 31 191065
34 35 67081
34 37 99441
35 2 169487
35 4 119704
35 6 155439
35 8 157922
35 10 148706
35 13 86460
35 15 149123
35 18 250249
35 20 28481
35 22 223193
35 24 150176
35 26 156572
35 28 155510
35 31 198656
35 34 67081
35 37 128278
36 1 166779
36 5 136265
36 7 112526
36 10 98311
36 12 164282
36 14 200766
36 19 74548
36 22 100428
36 24 99781
36 28 123313
36 31 119121
36 33 164818
36 35 166689
37 2 185664
37 4 127571
37 6 163306
37 8 190282
37 10 185760
37 13 41818
37 15 197333
37 17 118562
37 20 156759
37 22 240305
37 24 187230
37 26 204782
37 28 203720
37 30 139748
37 33 164651
37 35 128278
38 32 221309
38 4 240204
38 37 216799
38 8 185022
38 11 251448
38 13 182808
38 15 132867
38 17 313418
38 23 145032
38 25 159238
38 28 179421
38 30 225426
Case #77: 205
1 3 147629
1 5 172226
1 9 225366
1 11 109841
1 13 151301
1 16 99061
1 20 74664
1 22 216776
1 26 110671
2 16 92282
2 19 278494
2 21 48238
2 23 226053
2 10 110092
2 15 277240
3 2 43714
3 5 35915
3 7 239561
3 10 66378
3 13 212795
3 16 48568
3 18 127795
3 21 4524
3 24 216310
3 27 126155
4 3 171511
4 6 338115
4 8 257709
4 13 92839
4 20 16202
4 22 159524
5 1 172226
5 3 35915
5 9 130086
5 14 250322
5 16 73165
5 18 163710
5 21 40439
5 25 380650
6 16 307917
6 3 259349
6 21 263873
6 7 406165
6 26 318310
6 27 385504
7 1 198526
7 4 107660
7 9 242160
7 11 159039
7 14 209158
7 16 288129
7 20 123862
7 27 320646
8 18 346786
8 20 273911
8 23 337388
8 9 290774
8 13 235829
9 1 225366
9 5 130086
9 8 290774
9 12 174844
9 14 235998
9 22 25024
9 26 154305
10 1 214007
10 3 66378
10 7 296891
10 12 147051
10 14 266463
10 16 114946
10 19 294919
10 21 61854
10 24 280246
10 26 209036
11 1 109841
11 9 185879
11 12 289870
11 17 227363
11 21 213721
11 23 108313
11 26 71184
12 3 80673
12 9 174844
12 11 289870
12 16 129241
12 18 208468
12 20 268386
12 22 149820
12 26 232379
13 3 212795
13 5 237392
13 8 235829
13 10 257804
13 15 198634
13 17 115549
13 22 252363
13 26 112644
14 5 250322
14 8 333215
14 10 266463
14 16 259021
14 20 85296
14 23 228766
14 25 346030
14 27 318030
15 2 277240
15 5 313221
15 7 213455
15 12 351705
15 14 181301
15 17 308131
15 20 121997
15 23 265467
15 26 125600
16 2 92282
16 5 73165
16 7 288129
16 10 114946
16 13 164227
16 15 295722
16 25 348324
17 1 266850
17 5 280052
17 9 200014
17 11 227363
17 13 115549
17 19 366469
17 22 174990
17 24 93107
18 3 127795
18 20 162648
18 22 196942
18 8 346786
18 26 198655
18 12 208468
19 5 358123
19 10 294919
19 12 402881
19 15 555734
19 18 450003
19 22 303927
19 25 279705
20 1 74664
20 3 187713
20 7 123862
20 10 181167
20 14 85296
20 17 192186
20 21 183189
20 26 36007
21 1 152153
21 3 4524
21 5 40439
21 8 339421
21 11 213721
21 13 217319
21 15 272782
21 19 326732
21 22 73671
21 25 398476
22 3 69147
22 6 328496
22 10 135525
22 12 149820
22 17 174990
22 19 303927
22 23 246916
23 5 218254
23 9 271940
23 12 263012
23 14 228766
23 17 277574
23 21 186863
23 26 179477
24 2 260024
24 8 258271
24 11 134256
24 15 221076
24 18 88515
24 25 177642
24 27 325105
25 3 393952
25 6 457255
25 10 441901
25 16 348324
25 19 279705
25 24 177642
25 27 434350
26 2 195420
26 9 154305
26 11 71184
26 13 112644
26 15 125600
26 19 467667
26 23 179477
26 25 296741
27 3 126155
27 5 162070
27 7 320646
27 9 82032
27 14 318030
27 17 232003
27 20 232734
27 24 325105
Case #78: 181
1 33 348779
1 22 239007
1 41 209525
1 46 254136
2 21 235184
2 45 204324
3 4 251378
3 41 240253
4 3 251378
4 38 202841
4 22 384569
4 9 174809
5 20 499789
5 9 129205
6 32 221459
6 4 336798
6 43 309262
6 28 322926
6 31 317759
7 20 528410
7 9 115767
7 26 171852
7 14 194171
8 35 246373
8 22 395813
8 29 330971
9 36 114986
9 5 129205
9 7 115767
9 14 262398
10 5 133997
10 44 209837
11 35 172932
11 38 107888
11 29 293408
12 1 191502
12 18 295665
12 22 349520
12 41 243267
12 44 208218
12 30 192380
13 19 161097
13 36 182482
13 6 273826
13 10 95510
13 28 216898
14 16 289675
14 7 194171
14 9 262398
14 13 162032
15 39 111732
15 29 161269
16 35 182588
16 39 253527
16 8 341820
16 42 382313
16 28 165540
16 14 289675
17 32 324290
17 5 228576
17 9 121344
17 26 345724
17 28 237876
18 34 336063
18 4 330741
18 24 335471
18 12 295665
18 14 162415
19 1 183462
19 3 338032
19 28 177241
19 30 116106
20 34 545020
20 22 555366
20 7 528410
20 31 426106
21 16 148496
21 2 235184
21 7 92353
21 13 212033
22 1 239007
22 34 317601
22 20 555366
22 39 288612
22 44 254988
23 20 466597
23 39 201603
23 12 282494
23 29 205666
24 32 516499
24 8 406290
24 43 487734
24 45 368367
25 6 178631
25 23 170460
25 10 190705
26 17 345724
26 12 427352
26 31 280813
27 6 465178
28 16 165540
28 17 237876
28 35 42266
28 20 512398
28 13 216898
28 30 175216
29 17 230095
29 24 187227
29 26 348569
29 15 161269
30 18 213437
30 19 116106
30 42 332675
30 12 192380
31 32 347245
31 6 317759
31 26 280813
32 33 526548
32 6 221459
32 29 407451
32 31 347245
33 1 348779
33 20 627375
33 37 293657
33 39 321595
33 44 287965
34 18 336063
34 35 298425
34 21 273203
34 40 191132
34 44 295951
35 16 182588
35 38 65044
35 8 246373
35 28 42266
35 13 177941
36 33 390530
36 4 59827
36 7 230753
36 42 407787
36 13 182482
37 32 385226
37 33 293657
37 3 330100
37 11 290009
37 46 187872
38 4 202841
38 41 108258
38 46 152869
39 1 94440
39 33 321595
39 22 288612
39 40 187102
39 45 255106
39 15 111732
40 34 191132
40 39 187102
41 16 225802
41 1 209525
41 5 72871
41 39 182337
41 25 158513
42 16 382313
42 21 233817
42 15 240518
43 36 217918
43 24 487734
43 45 119367
43 46 324401
44 33 287965
44 22 254988
44 12 208218
45 37 237094
45 39 255106
45 43 119367
45 46 231717
46 36 295887
46 37 187872
46 23 313471
46 43 324401
46 45 231717
Case #79: 226
1 4 76623
1 6 169367
1 8 118267
1 12 121037
1 15 47303
1 17 7436
1 19 79465
1 23 145217
1 25 20887
2 4 221548
2 6 193142
2 8 272084
2 11 194976
2 13 317743
2 15 112494
2 18 221575
2 21 166662
2 24 224078
3 2 390836
3 6 375385
3 9 383151
3 11 364405
3 13 463158
3 15 281923
3 18 391004
3 20 393356
3 23 361827
3 25 228605
4 2 221548
4 5 266270
4 9 210282
4 11 191536
4 13 264357
4 16 69024
4 18 218135
4 20 220487
4 22 128098
4 24 220638
5 1 222529
5 4 266270
5 7 204836
5 9 158666
5 11 225282
5 14 107327
5 16 223822
5 20 168871
5 22 138172
5 24 192733
6 1 169367
6 3 375385
6 7 256295
6 11 284280
6 15 201798
6 18 310879
6 21 147630
6 23 171285
7 1 129583
7 3 364203
7 6 256295
7 9 220247
7 11 244496
7 13 300254
7 15 162014
7 17 122147
7 19 194176
7 21 136448
7 23 198923
7 25 135598
8 2 272084
8 5 110392
8 7 171973
8 12 206422
8 15 159590
8 18 253755
8 21 107122
8 23 26950
9 3 383151
9 5 158666
9 10 251744
9 15 207864
9 17 167997
9 20 112883
9 23 21324
9 25 154546
10 3 332706
10 5 173339
10 8 203470
10 11 212999
10 15 130517
10 17 90650
10 20 261949
10 22 176463
10 25 104101
11 3 364405
11 5 225282
11 7 244496
11 12 235950
11 15 82482
11 19 194378
11 22 208162
11 24 133007
12 1 121037
12 3 327055
12 5 310684
12 8 206422
12 13 172931
12 17 113601
12 19 150925
12 21 99300
12 24 265052
13 3 463158
13 7 300254
13 11 154996
13 14 131346
13 16 247841
13 18 346559
13 21 235403
13 23 101331
13 25 234553
14 2 269019
14 5 107327
14 7 168908
14 10 200405
14 15 156525
14 17 116658
14 20 61544
14 24 85406
15 1 47303
15 3 281923
15 5 221457
15 7 162014
15 9 207864
15 11 82482
15 13 237478
15 16 66606
15 18 109081
15 20 218069
15 25 53318
16 4 69024
16 6 135192
16 8 119560
16 10 117389
16 13 247841
16 15 66606
16 19 98768
16 21 12438
16 24 178190
17 2 152361
17 4 69187
17 7 122147
17 10 90650
17 13 248004
17 15 39867
17 20 178202
17 22 85813
17 24 151451
18 1 156384
18 3 391004
18 6 310879
18 8 253755
18 13 346559
18 15 109081
18 20 312234
18 22 234761
18 24 220665
19 1 79465
19 3 314085
19 7 194176
19 9 136571
19 11 194378
19 13 179897
19 16 98768
19 20 146776
19 23 115247
20 3 393356
20 5 168871
20 7 230452
20 10 261949
20 12 264901
20 15 218069
20 17 178202
20 19 146776
20 25 164751
21 2 166662
21 4 56586
21 6 147630
21 8 107122
21 12 99300
21 16 12438
21 18 163249
21 22 73212
21 25 850
22 5 138172
22 7 199753
22 9 82184
22 11 208162
22 13 162191
22 18 234761
22 25 72362
23 2 299034
23 4 188958
23 6 171285
23 8 26950
23 10 230420
23 13 101331
23 16 146510
23 18 280705
23 20 91559
24 2 224078
24 4 220638
24 7 254314
24 11 133007
24 13 216752
24 15 111584
24 17 151451
24 19 170638
24 25 164902
25 2 165812
25 4 55736
25 6 148480
25 9 154546
25 11 135800
25 14 103207
25 17 13451
25 20 164751
25 22 72362
Case #80: 591
1 2 191145
1 7 211609
1 11 146780
1 13 137730
1 16 73219
1 18 195584
1 20 33706
1 23 148461
1 27 185777
1 29 171821
1 31 87147
1 34 142225
1 36 86400
1 39 201513
2 4 194062
2 6 171261
2 8 108811
2 12 160732
2 16 200553
2 18 176863
2 21 230416
2 23 104070
2 25 186644
2 27 144337
2 30 185206
2 32 198355
2 34 144519
2 36 195272
2 39 158540
3 6 18429
3 8 73815
3 12 127166
3 15 79407
3 17 54952
3 21 96544
3 23 155361
3 25 36346
3 28 103945
3 30 32374
3 32 24635
3 34 101504
3 36 49202
3 39 116635
4 6 44436
4 8 86681
4 11 85966
4 13 71002
4 15 105414
4 18 154733
4 20 100434
4 22 4592
4 24 82000
4 27 174586
4 29 105603
4 32 50642
4 35 67741
4 37 81294
4 39 142642
5 3 84525
5 8 158340
5 10 95736
5 14 163945
5 17 96100
5 19 110312
5 23 190616
5 25 71601
5 28 139200
5 31 99422
5 33 203430
5 36 84457
5 38 223603
6 2 171261
6 4 44436
6 9 166367
6 11 63165
6 14 68055
6 16 37945
6 20 117321
6 23 173790
6 26 152568
6 28 122374
6 32 43064
6 34 88555
6 36 67631
6 39 131383
7 2 196154
7 4 144881
7 8 114082
7 11 114797
7 14 126916
7 16 151372
7 19 180182
7 22 149473
7 24 186972
7 27 51817
7 29 172987
7 32 136450
7 35 119351
7 37 119469
7 39 167781
8 3 73815
8 5 158340
8 7 114082
8 11 715
8 13 40203
8 15 96968
8 18 69482
8 20 168512
8 23 123403
8 26 90892
8 28 61647
8 30 76395
8 33 116992
8 35 115549
8 37 5387
8 39 68933
9 5 252922
9 8 103917
9 11 103202
9 14 198899
9 18 171969
9 20 235202
9 23 62306
9 25 181321
9 28 164134
9 32 193032
9 34 139625
9 37 107874
9 39 116776
10 4 86488
10 6 78910
10 9 172930
10 14 139901
10 16 79997
10 18 128882
10 20 113107
10 22 91080
10 24 96191
10 26 146341
10 28 91734
10 31 75378
10 33 189815
10 35 52945
10 37 90929
10 39 56154
11 2 108096
11 6 63165
11 8 715
11 12 52636
11 14 124156
11 17 129482
11 19 149076
11 21 122320
11 23 124118
11 25 110392
11 28 60932
